Name in documentation	Category	Qty	Full Name	Notes
Aluminum frame (40x40x800)mm³	part	10		
Aluminum frame (40x80x800)mm³	part	20		
Aluminum frame (40x80x880)mm³	part	4		
Aluminum plate 1	part	10		
Aluminum plate 2	part	4		
Aluminum plate 3	part	4		
Aluminum plate 4	part	4		
Aluminum plate 5	part	6		
Aluminum plate 6	part	6		
Aluminum plate 7	part	2		
Aluminum plates 8 & 9	part	4		
Angles, 40	part	24		
Angles, 40x80	part	24		
Ballscrew & spindle nut block	part	4		
Distance plate 1mm	part	10		
Easy-Mechatronics System	part	4		
Floating bearing	part	4		
Hexagon nuts, M5	part	24		
Linear bearing, TBR20UU	part	32		
M5x20 countersunk screws	part	24		
M5x20 screws	part	48		
M5x30 screws	part	48		
M6 screw nuts	part	4		
M6x20 countersunk screws	part	64		
M6x20 screws	part	36		
M6x30 screws	part	4		
M8x18 countersunk screws	part	48		
M8x18 screws	part	128		
M8x20 countersunk screws	part	20		
Motor coupler	part	4		
Motor holder and fixed bearing	part	4		
Slot nuts, M5	part	48		
Slot nuts, M8	part	104		
Supported rail, TBS20	part	8		
